Site098,Silene_acaulis,sample,cushion.open,Achillea_millefolium,Agoseris_villosa,Agrostis_sp4,Agrostis_sp5,Anenome_parviflora,Antennaria_lanata,Aquilegia_caerulea,Arenaria_rossii,Arnica_alpina,Artemisia_frigida,Astragalus_bourgovii,Astragalus_kentrophyta,Besseya_wyomingensis,Bromus_sp1,Bupleurum_americanum,Carex_geyeri,Carex_parryana,Cerastium_alpinum,Cerastrium_vulgare,Claytonia_megarhiza,Dodecatheon_pulchellum,Draba_oligosperma,Erigeron_lanatus,Eriogonum_subalpinum,Festuca_idahoensis,Fritillaria_pudica,Galium_boreale,Geum_rossii,Gnaphalium_decurrens,Hedysarum_alpinum,Heuchera_parviflora,Linum_lewisii,Lupinus_sericeus,Mertensia_lanceolata,Minuartia_obtusiloba,Myosotis_sylvatica,Oxyria_digyna,Oxytropis_campestris,Pedicularis_bracteosa,Penstemon_lyallii,Phacelia_sericea,Plantago_tweedyi,Poa_alpina,Poa_sandbergii,Polemonium_boreale,Polygonum_viviparum,Potentilla_diversifolia,Dasiphora_fruticosa,Saussurea_weberi,Saxifraga_ascendens,Saxifraga_bronchialis,Saxifraga_lyallii,Saxifraga_occidentalis,Saxifraga_rhomboidea,Sedum_lanceolatum,Sedum_roseum,Senecio_canus,Senecio_triangularis,Smelowskia_calycina,Stenanthium_occidentale,Synthris_pinnatifia,Taraxacum_vulgare,Tofieldia_glutinosa
,,68,cushion,,,2,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
,,69,cushion,3,,,,,,,,,,,2,2,,3,,,,,,,,,,,,,,,,,,,,,5,,,1,,,,,,,9,4,,,,,,,,,,,,4,,,,
,,70,cushion,,,,,,,,,,,,3,1,,2,10,,,,,,,,,,,,,,,,,,,,1,,,,,,,11,,,,,,,,,,,,,,,,,,,,
,,71,cushion,6,,,2,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,3,,,,1,,,,,2,,,6,,,,
,,72,cushion,7,,,3,,,,,1,5,,,2,,,9,,,,,,,,,,,1,,,,,,,4,,,,,,,,,,,,2,2,2,,,3,,,,,,,,2,,,,
,,73,cushion,,,,,,,,,,3,,,,,,2,,,,,,,,,,,,,,,,,,,8,,,,,,,,12,,,,1,,,,,,,,,,,,1,,,,
,,74,cushion,,,2,,,,,,,,,,,,,6,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
,,75,cushion,,,12,,,3,,1,,1,,5,,,,3,,,,,2,,4,,2,2,,,,2,1,,,,,,,4,,,1,,14,,1,,14,,1,,,,,,,,4,,12,,,,1
,,76,cushion,,,2,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,1,,,,,,
,,77,cushion,,,2,,,,,,,,,3,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
,,78,cushion,,,6,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
,,79,cushion,11,,3,,,,,,,,,3,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,6,,,,,5,,,,,,,
,,80,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,,,,,,,,,,11,,,,
,,81,cushion,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,5,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,
,,82,cushion,,,,,,,,,,,,6,2,,,,,,,,,,,,2,,,,,,1,,,,1,,,,,,,,,,1,,14,,,,,,,,,1,,,,,,,
,,83,cushion,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,4,,,,,3,,,3,,,,
,,84,cushion,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,85,cushion,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,6,,1,,,,,,,,3,,3,,,,
,,86,cushion,,,5,,,,,,2,,,,,,,,,,,,,,,,3,,,,,,,,,,,,2,,,,,,,,,,3,2,4,,3,,,,,,,,,,,,
,,87,cushion,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
,,88,cushion,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,,89,cushion,1,,3,,,,,,,2,,2,1,,,12,,,1,,,,7,,,,,11,,,1,,,2,3,,1,,,,,,12,,,4,,,,,,,,,1,,2,,5,,,1,
,,90,cushion,2,,3,,,1,,,,,,,,,,6,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,2,,,6,,3,,,,,,1,,,,3,,,,
,,91,cushion,,,4,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,
,,92,cushion,2,,,,,,,,3,,,,,3,,1,,,,,,,,,2,,,,,5,,,,,,,,,,,,,1,,,,4,,,,1,,,,,,,,,,,,
,,93,cushion,3,,,5,,,,,3,,,4,2,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,6,,,,,,,,1,,,,4,,,,
,,94,cushion,15,,7,,,,,,6,,,1,3,,,4,,,4,,,,,,6,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,1,,1,,,,
,,95,cushion,1,,6,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
,,96,cushion,,,,,,,,,3,,,,,,,3,,,,,,,,,,,,,,,,,,,,2,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,
,,97,cushion,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,
,,98,cushion,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,
,,99,cushion,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,
,,100,cushion,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,4,,,3,,,,
,,101,cushion,1,,,,,,,,,,1,,2,,1,12,,,,,,,,,3,,,,,,,,,,1,1,,,,,,,,,1,,4,,,,,,,,,,,,2,,,,1
,,102,cushion,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,5,,,,,,,,2,,,,
,,103,cushion,,,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,4,,,,2,,,,,,,,,,,,4,,,,
,,104,cushion,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,3,,2,,,,
,,105,cushion,,,2,,,,,,,,,,,,,,2,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,3,,,,
