Site018,Oreopolus_glacialis,sample,cushion.open,Acaena_macrocephala,Acaena_pinnatifida,Anemone_multifida,Armeria_maritima,Azorella_monantha,Berberis_empetrifolia,Calandrinia_gayana,Carex_aphylla,Carex_caduca,Cerastium_arvense,Chuquiraga_avellanae,Discaria_nana,Draba_gilliesii,Erigeron_sp,Gamocarpa_selliana,Gaultheria_pumila,Geranium_sessiliflorum,Hordeum_comosum,Hypochaeris_tenuifolia,Leucheria_millefolium,Luzula_chilensis,Montiopsis_gayana,Mulinum_leptacanthum,Nastanthus_caespitosum,Plantago_barbata,Polygala_salasiana,Senecio_pachyphyllos,Senecio_portalesianus,Sisyrinchium_patagonicum,Trisetum_barbinode,Tristagma_nivale,Viola_cotyledon
,,28,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,29,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,32,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,35,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,36,open,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,
,,37,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,38,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,39,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,40,open,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,41,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,42,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,43,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,44,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,45,open,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
,,46,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,47,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,48,open,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
,,49,open,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,1,2
,,50,open,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,1
,,51,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,52,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,53,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,54,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,55,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,56,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,57,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,58,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,59,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,60,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,62,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,63,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,64,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,65,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,66,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,67,open,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
,,68,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,69,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,70,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,71,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,72,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,73,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,75,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,76,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,77,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,78,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,79,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,80,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,81,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,82,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,83,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,84,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,85,open,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
,,86,open,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,
,,87,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,88,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,89,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,90,open,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,91,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,92,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,93,open,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
,,94,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,95,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,96,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,97,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,98,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,99,open,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,1,2
,,100,open,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,5
