site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Acaena leptacantha,Acaena pinnatifida,Adesmia sp4,Barneoudia major,Bromus catharticus,Bromus setifoluis,Calandrinia affinis,Calandrinia caespitosa,Calandrinia sp,Carex sp 1,Carex sp 2,Cerastium arvense,Chaetanthera apiculata,Chaetanthera euphrasioides,Chaetanthera lycopodioides,Chaetanthera pentacaenoides,Chaetanthera planiseta,Chaetanthera pusilla,Draba sp 2,Erigeron andicola,Festuca magellanica,Galium gilliesii,Gayophytum humile,Geranium sessiliflorum,Haplopappus scrobiculatus,Hordeum comosum,Hypochaeris tenuifolia,Jaborosa caulescens,Junellia uniflora,Loasa sigmoidea,Microsteris gracilis,Montiopsis potentilloides,Nassauvia lagascae,Nassauvia pyramidalis,Nastanthus agglomeratus,Olsynium scirpoideum,Oreopolus glacialis,Oxalis compacta,Perezia carthamoides,Perezia pilifera,Phacelia secunda,Poa alopecurus,Poa pratensis,Pozoa coriacea,Quinchamalium chilense,Rhodophiala uniflora,Rytidosperma violaceum,Sanicula graveolens,Senecio bustillosianus,Senecio looseri,Senecio polygaloides,Taraxacum officinale,Thlaspi magellanicum,Trisetum preslei,Tropaeolum polyphyllum,Viola philippii,dataset code
"Valle Nevado","Azorella madreporica",99,"open","","",,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,2,,,,,,,,,,,,1,,,,,1,,,1,,,,1,57
"Valle Nevado","Azorella madreporica",100,"open","","",,,,,,,,3,,,,9,,11,12,2,,,,,,,21,,,7,,1,,,42,,1,1,1,,,2,2,,5,4,,2,2,,,1,,2,,4,,,,,57
"Valle Nevado","Azorella madreporica",5,"cushion","","",,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,1,,,,57
"Valle Nevado","Azorella madreporica",6,"cushion","","",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",7,"cushion","","",,,,,1,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,57
"Valle Nevado","Azorella madreporica",8,"cushion","","",,,,,,,,,,,,165,,,,,,,,1,11,,,,,5,,,,,17,4,,,,,,,,3,,3,,,1,,,,,,,4,5,2,,,57
"Valle Nevado","Azorella madreporica",9,"cushion","","",,,,,,,,,,,,11,,,,,,,,,,,,,,1,,,,,54,1,,,,,,,,,,,,,,,2,,,,,3,,4,,,57
"Valle Nevado","Azorella madreporica",10,"cushion","","",,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,1,,1,,,57
"Valle Nevado","Azorella madreporica",11,"cushion","","",,,,,,,,,,,,39,,,,,,,,,7,,,,,1,,,,,21,5,,,,,,,,1,,,,,,,,,,,,2,2,5,,,57
"Valle Nevado","Azorella madreporica",12,"cushion","","",,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,3,,,57
