"site","cushion","code","sample","cushion.open","diam1","diam2","area","Adesmia sp 3","Adesmia sp 4","Adesmia sp 6","Anarthrophyllum gayanum","Barneoudia major","Berberis empetrifolia","Bromus catharticus","Bromus setifolius","Calandrinia caespitosa","Chaetanthera euphrasioides","Chaetanthera pusilla","Chuquiraga oppositifolia","Ephedra chilensis","Erigeron andicola","Euphorbia collina","Haploppappus scrobiculatus","Hordeum comosum","Montiopsis gayana","Nassauvia axillaris","Nassauvia uniflora","Nastanthus agglomeratus","Oxalis squamata","Perezia carthamoides","Perezia pilifera","Phacelia secunda","Poa alopecurus","Polygala salasiana","Quinchamalium chilense","Rhodophiala uniflora","Senecio bustillosianus","Senecio polygaloides","Taraxacum officinale","Thlaspi magellanicum"
"La Parva","Laretia_acaulis",13,2,"open",,,,,,,,,,,,,,5,1,,,,,,1,,1,,,,,,2,,,2,,1,,
"La Parva","Laretia_acaulis",13,3,"open",,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,3,,,,,1,,
"La Parva","Laretia_acaulis",13,4,"open",,,,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,
"La Parva","Laretia_acaulis",13,5,"open",,,,1,,1,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
"La Parva","Laretia_acaulis",13,6,"open",,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,
"La Parva","Laretia_acaulis",13,7,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,
"La Parva","Laretia_acaulis",13,8,"open",,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,2,,
"La Parva","Laretia_acaulis",13,11,"open",,,,,,1,,,,,,,1,14,,,,,,,,,1,,,,,,,,,2,,,,
"La Parva","Laretia_acaulis",13,12,"open",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,13,"open",,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,
"La Parva","Laretia_acaulis",13,15,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,16,"open",,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,17,"open",,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,
"La Parva","Laretia_acaulis",13,18,"open",,,,,,,,,,,,,,11,,,,,,,,,3,,,,,,,,1,,,,,
"La Parva","Laretia_acaulis",13,19,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,1,,1,,
"La Parva","Laretia_acaulis",13,20,"open",,,,,,,,,,,,,1,,,1,,,1,,,1,2,,,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,21,"open",,,,,,,,,,,,,,,,1,,,,,,,3,,,2,,,,,,,,1,,
"La Parva","Laretia_acaulis",13,22,"open",,,,1,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,
"La Parva","Laretia_acaulis",13,23,"open",,,,,3,,,,,,,,,5,,,,1,,1,,,1,1,1,,,,1,,,1,,1,,
"La Parva","Laretia_acaulis",13,24,"open",,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,2,,,2,,1,,
"La Parva","Laretia_acaulis",13,25,"open",,,,,,3,,,,,,,,6,,,,1,,1,,,5,1,,,,2,,,,,,1,,
"La Parva","Laretia_acaulis",13,26,"open",,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
