Site,Cushion sp,sample,cushion/open,Flower #,Flower gender,diam1  (cm),diam 2 (cm),Notes,Anenome occidentalis (tiny anenome),Antennaria alpina,Carex spp,Bistorta vivipara,Cetraria cuculata,Draba oligosperma (ylw flower cushion),Grass spp,Lupinus arcticus,Masonhalea richardsonii (brown lichen),Moss,Pedicularis spp (Lousewort),Peltigera spp,Phyllodoce spp (Heather),Polemonium spp,Polytrichum spp,Potentilla spp (Cinquefoil),Rock lichen,Salix spp,Salix cascadensis (Salix 2),Saxifraga serpyllifolia (Yellow flower),Selaginella densa,Thamnolia spp,Saxifraga nelsoniana (Lobe leaf),Sedum spp (stonecrop),Saxifraga nivalis (Dandel),dataset code
"Cathedral Lake 1","Silene acaulis",34,"cushion","","",19.5,16.4,"",,,,,3,,6,,,,,,,,,,,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",35,"open","","",,,"",,,,,,,5,,,,,,,,,3,3,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",37,"cushion","","",20.9,13,"",,,,,,,4,,,,,,,,,,,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",38,"open","","",,,"",,,,,,,1,,,,,,,,,,2,5,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",39,"cushion","","",30.2,10.5,"",,,8,,,,5,,,,,,,,,2,,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",39,"open","","",,,"",,,,,,,1,,,,,,4,,,,3,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",40,"cushion","","",16.2,9,"",,,,,,,1,,,,,,,,,,,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",40,"open","","",,,"",,,,,,,,,,,,,,,,,3,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",41,"cushion","","",22.1,21,"",,,,,,,3,,,,,,5,,,5,,10,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",41,"open","","",,,"",,,4,,4,,5,,,1,,,,,,2,,,,,,1,,,,67
"Cathedral Lake 1","Silene acaulis",42,"cushion","","",16.9,16,"",,,,,,,1,,,,,,,,,3,,1,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",42,"open","","",,,"",,,,,,,2,,,,,,,,,,3,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",43,"cushion","","",16.1,13.5,"",,,,,,,,,,,,,10,,,4,,8,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",44,"open","","",,,"",,,,,,,,,,,,,,,,,3,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",46,"cushion","","",39,29.5,"",,,4,,10,,20,,,,,,,5,,1,,2,,,,1,,,,67
"Cathedral Lake 1","Silene acaulis",47,"open","","",,,"",,,,,,,,,,,,,,,,,3,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",48,"open","","",,,"",,,,,,,,,,,,,,,,,4,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",49,"cushion","","",25.5,19,"",,,5,,5,,10,,,,,,,6,,1,,10,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",49,"open","","",,,"",,,8,,10,,10,,,,,,,2,,,,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",50,"cushion","","",30,25.4,"",,,,,,,8,,,,,1,,5,,2,,10,,,,,,,1,67
"Cathedral Lake 1","Silene acaulis",50,"open","","",,,"",,,,,10,,10,,1,,,,,,,,3,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",51,"cushion","","",30,23.5,"",,,,1,7,2,30,,,,,,2,7,,8,,3,5,,,,,,,67
"Cathedral Lake 1","Silene acaulis",51,"open","","",,,"",,,,,8,,4,,,1,,,,3,,,2,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",52,"cushion","","",26.5,22,"",,,,5,2,,13,,,,,,2,5,,2,,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",52,"open","","",,,"",,,,3,3,,,,,,,,3,1,,1,1,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",53,"cushion","","",24,14.5,"",,,,,,1,4,,,1,,,3,8,,,,7,1,,,1,,,,67
"Cathedral Lake 1","Silene acaulis",53,"open","","",,,"",,,,,15,,1,,,,,,,2,,3,2,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",55,"cushion","","",19,18,"",,,,,,,6,,,,,,,2,,2,,25,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",56,"open","","",,,"",,,,,,,,,,1,,,,,,,,10,,,,,,1,,67
"Cathedral Lake 1","Silene acaulis",57,"open","","",,,"",,,,,,,3,,,,,,1,,,1,,4,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",59,"cushion","","",20.5,18,"",,,,,1,2,6,,,,,,,,,1,,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",60,"cushion","","",24,21,"",,8,,,2,1,17,,,,,,2,,,,,,2,,,,,,,67
"Cathedral Lake 1","Silene acaulis",60,"open","","",,,"",,,,,,,,,,,,,,,,,2,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",61,"cushion","","",34,30,"",,,,,,3,18,,,,,,4,,,6,,,,,,,1,,1,67
"Cathedral Lake 1","Silene acaulis",61,"open","","",,,"",,,,,,,,,,,,,,,,,1,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",62,"cushion","","",30,18,"",,3,,,3,1,7,,,,,,7,6,,,,5,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",62,"open","","",,,"",,,,,,,,,,,,,,,,,2,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",63,"cushion","","",15,12.5,"",,,,,1,,8,,,,,,2,2,,1,,5,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",63,"open","","",,,"",,7,,,3,,8,,,,,,,,,2,,1,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",64,"open","","",,,"",,,,,,,,,,,,,,,,21,1,15,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",66,"cushion","","",27,15,"",,,,1,,1,14,,,1,,,3,6,,2,,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",67,"open","","",,,"",,,,,,,,,,,,,,,,,1,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",68,"open","","",,,"",,,,,,1,2,,,1,,,1,,,,1,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",69,"cushion","","",27,25,"",,2,5,,,,6,,,,,,,,,3,,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",69,"open","","",,,"",,,,,2,,,,,,,,,,,,2,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",70,"cushion","","",15,14,"",,,4,,,1,9,,,,,,,,,3,,21,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",70,"open","","",,,"",,,,,3,,5,,,,,,1,,,,,13,,1,,,,,,67
"Cathedral Lake 1","Silene acaulis",71,"cushion","","",18,17.5,"",,1,6,,,,2,,,,4,,1,,,4,,1,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",71,"open","","",,,"",,,,,5,,2,,,,,,,,,,3,8,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",72,"cushion","","",24,23.5,"",,,3,1,,,4,,,,3,,,,,6,,9,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",72,"open","","",,,"",,,,,6,,3,,,5,,,,,,1,2,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",73,"cushion","","",26.5,24,"",,,3,,,,23,,,,7,,7,,,11,,,,1,,,,,,67
"Cathedral Lake 1","Silene acaulis",73,"open","","",,,"",,,,,2,,,,,,,,,,,,3,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",74,"open","","",,,"",,,,,4,,4,,,,,,,,,,2,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",76,"cushion","","",17.5,10.5,"",,2,,,,,6,,,,5,,,,,,,22,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",77,"open","","",,,"",,,,,,,,,,,,,,,,,2,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",79,"cushion","","",19.5,16.5,"",,,,,,,5,,,,1,,,,,2,,14,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",79,"open","","",,,"",,,,,6,,,,,1,1,,,,,2,1,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",80,"cushion","","",22,19,"",,,,,,,9,,,1,,,3,,,5,,,,,,,,,,67
"Cathedral Lake 1","Silene acaulis",80,"open","","",,,"",,,,,,,2,,,,,,,,,,2,,,,,,,,,67
