"site","cushion","code","sample","cushion.open","diam1","diam2","area","Acaena macrocephala","Acaena pinnatifida","Anemone multifida","Armeria maritima","Azorella monantha","Berberis empetrifolia","Calandrinia gayana","Carex aphylla","Carex caduca var ortegae","Cerastium arvense","Chuquiraga avellanae","Discaria nana","Drava gilliesii","Erigeron sp","Gamocarpa selliana","Gaultheria pumila","Geranium sessiliflorum","Hordeum comosum","Hypochaeris tenuifolia var eurylepis","Leucheria millefolium","Luzula chilensis","Montiopsis gayana","Mulinum leptacanthum","Nastanthus caespitosum","Oreopolus glacialis","Plantago barbata subsp barbata","Polygala salasiana","Senecio pachyphyllos","Senecio portalesianus","Sisysrinchium patagonicum","Trisetum barbinode","Tristagma nivale","Viola cotyledon"
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,63,"cushion",,,,,,,9,,1,,,,,,,1,,,,,3,,,,,,,,,,,,,,,3
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,64,"cushion",,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,65,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,66,"cushion",,,,,,,19,,,,,,,,,,,,,,1,,,,,,,1,,,,4,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,67,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,68,"cushion",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,69,"cushion",,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,70,"cushion",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,77,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,1,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,78,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,3
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,79,"cushion",,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,6,,,,,1
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,80,"cushion",,,,1,,,2,,,,,,,,,,,,,,,,,,,,,3,,5,4,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,81,"cushion",,,,1,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,8,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,82,"cushion",,,,1,,1,,,,,,,11,,,,,,,,,,,,,,2,,,25,,6,2,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,91,"cushion",,,,4,,4,,,,,,,,,,4,,,,,,,,,,,2,,2,10,,8,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,92,"cushion",,,,,,3,7,,1,,,,,,,,,,,,2,,,,9,,,3,,,6,3,,,,15
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,93,"cushion",,,,6,,3,,,,,,,,,,2,,,,,,,,2,,,,,2,,,4,,,,3
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,94,"cushion",,,,,,4,,,,,,,,,,,,,,,1,,,2,,,,,,,,8,,,,3
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,95,"cushion",,,,,,2,14,,,,,,,,,,,,,,1,,,4,,,,,,,,5,,1,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,96,"cushion",,,,,,5,,,,,,,,,,,5,,,,4,,,,,,,,1,,,32,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,97,"cushion",,,,1,,6,13,,1,,,,,,,7,1,,5,,9,,,,,,,,6,,,18,,2,,4
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,98,"cushion",,,,,,2,36,,,,,,,,,,,,,,,,,,,,,2,,7,,9,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,100,"cushion",,,,2,,14,,,1,,,,,,,,,,,,,,,4,,,,,3,,5,15,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,1,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,2,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,3,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Mulinum leptacanthum","Mulinum leptacanthum",17,4,"open",,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
