site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Acaena,Acaena big,Adesmia,Asteraceae open,Azorella lycopoideodes,Calceolarea,Empetrum,Epilobium,Erigeron,Festuca,Haplopappus,Lathyrus,Lotus,Luzula,moustache,Nasauvia soft,Nasuvia hairy,Nasuvia teeth,Oxalis,Perezia,Saxifrage red,Saxifrage yellow,Senecio falso,Thlapsi,Trisetum,moss,dataset code
"Torres del Paine","Azorella_monantha",4,"open",35,30,5,,,,1,,,,,,,,,,,,,,7,,,,,,,,64
"Torres del Paine","Azorella_monantha",5,"open",25,25,,,,,,,,,,,,,,,,,,,1,,,,,,,,64
"Torres del Paine","Azorella_monantha",6,"open",25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",7,"open",40,30,,,,,,,,,,,,,,,,,1,,2,5,,,,,,,64
"Torres del Paine","Azorella_monantha",8,"open",40,40,,,,,,,,,,,,,,,2,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",9,"open",20,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",10,"open",25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",11,"open",50,30,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",17,"open",50,40,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",18,"open",30,40,,,,,,,,,,,,,,,,,,,3,,,,,,,,64
"Torres del Paine","Azorella_monantha",19,"open",30,25,,,,,,,,,,,,,1,,,,,,,1,,,,,,,64
"Torres del Paine","Azorella_monantha",20,"open",30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",21,"open",75,35,,,,,,,,,,,,,,,,,,,3,,,,,,,,64
"Torres del Paine","Azorella_monantha",22,"open",40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,64
"Torres del Paine","Azorella_monantha",23,"open",45,45,,,,,,,,,,,,,,,,,,,2,2,,,,,,,64
