"site","cushion","code","sample","cushion.open","diam1","diam2","area","Rytidiosperma setifolium","Aciphylla big","Aciphylla monroi","Anisotome flexuosa","Anisotome haastii","Blechnum pennamarina","Brachyglottis bellioides","Brachyscome sinclairii","Cardamine bilobata","Celmisia lyallii","Celmisia spectabilis","Chianochloa","Colobanthus aciculatus","Dracophyllum pronum","Dracophyllum uniflorum","Elymus rectisetus","Epilobium pycnostachyium","Gaultheria depressa","Gentiana corymbifera","Geranium sessiliflorum","Helichrysum bellidioides","Hieracium","Koeleria","Leptinella atrata","Leucopogon frazeri","Lobelia roughii","Luzula rufa","Melicytus alpinus","Ourisia caespitosa","Poa colensoi","Racometrum ptycophylla","Rumex acetosella","Schizeilema trifoliatum","Viola cunninghamii","Wahlenbergia albomarginata","moss (green)"
"Mt. Hutt","Raoulia eximia",41,57,"open",65,62,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,58,"cushion",46,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,58,"open",46,40,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,59,"cushion",36,36,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Mt. Hutt","Raoulia eximia",41,59,"open",36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,60,"cushion",56,71,,3,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,
"Mt. Hutt","Raoulia eximia",41,60,"open",56,71,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,3,
"Mt. Hutt","Raoulia eximia",41,61,"cushion",56,66,,2,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,4,,,,,,
"Mt. Hutt","Raoulia eximia",41,61,"open",56,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,62,"open",144,81,,4,,,,,,,,,,,1,2,,,,2,,,,,,,,,,,,,,,,,,4,
"Mt. Hutt","Raoulia eximia",41,63,"cushion",41,49,,8,,,,,,,,,,,,,,,,,,,,,,,12,,,14,,,8,,,,,7,2
"Mt. Hutt","Raoulia eximia",41,63,"open",41,49,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,64,"cushion",88,70,,10,,,,,,,3,,,,,,,,,,,,,,,1,7,,,2,,6,3,,,,,21,1
"Mt. Hutt","Raoulia eximia",41,64,"open",88,70,,2,,,,,,,,,,,,2,,,1,,,,,,,,,,,1,,,,,,,,7,
"Mt. Hutt","Raoulia eximia",41,65,"cushion",78,37,,14,,,,,,,,,,,1,,,,,,,,,,,1,7,,,,,,10,,,,,,
"Mt. Hutt","Raoulia eximia",41,66,"open",52,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,67,"cushion",79,42,,3,,,,1,,,,,,1,1,,,,,,,,,,,,2,,,,,1,4,,,,,25,
"Mt. Hutt","Raoulia eximia",41,68,"cushion",54,43,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
"Mt. Hutt","Raoulia eximia",41,68,"open",54,43,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,69,"cushion",76,81,,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,
"Mt. Hutt","Raoulia eximia",41,69,"open",76,81,,5,,,,,,,,,,,2,,,,,3,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,70,"cushion",165,98,,11,,,,,,,,2,,,,,,,4,,1,,1,,,,2,,,,,4,34,,,,1,96,
"Mt. Hutt","Raoulia eximia",41,70,"open",165,98,,,,,,,,,,,,,,,,,2,4,,,2,,,,,,,,,,,,4,,4,,
"Mt. Hutt","Raoulia eximia",41,71,"cushion",48,33,,4,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,13,1
"Mt. Hutt","Raoulia eximia",41,71,"open",48,33,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,2,
"Mt. Hutt","Raoulia eximia",41,72,"cushion",73,70,,6,,,,,,,,,,,,1,,,2,,,,2,,,,,,,,,,2,,,,,,
"Mt. Hutt","Raoulia eximia",41,72,"open",73,70,,1,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,73,"cushion",28,24,,1,,,,,,,,,,,,,,,1,,,,3,,,1,7,,,,,,4,,,1,,9,
"Mt. Hutt","Raoulia eximia",41,73,"open",28,24,,,,,,,,,,,,,,,,,,1,,,4,,,,,,,,,,,,,2,,,
"Mt. Hutt","Raoulia eximia",41,74,"cushion",70,64,,2,,1,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,4,,,,,15,
"Mt. Hutt","Raoulia eximia",41,74,"open",70,64,,4,,,2,,,,,,,,,,,,1,1,,,5,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,75,"cushion",157,66,,11,,,,,,,,,,,,,,,,,,,,,,,12,5,,2,,,7,,,4,,18,1
"Mt. Hutt","Raoulia eximia",41,76,"cushion",149,62,,4,,,,2,,,,,,,,3,,,3,,,,,,1,,3,2,,4,,20,2,,,,1,3,1
"Mt. Hutt","Raoulia eximia",41,77,"cushion",63,47,,1,,,,1,,,,,,,,1,,,,,,,,,,,7,3,,5,,3,3,,,,,,
"Mt. Hutt","Raoulia eximia",41,77,"open",63,47,,4,,,,,,,,,,,,4,,,,2,,,5,,,,,5,,,,,,,3,,,,
"Mt. Hutt","Raoulia eximia",41,78,"cushion",44,28,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,1,,,,,13,1
"Mt. Hutt","Raoulia eximia",41,78,"open",44,28,,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,79,"cushion",49,57,,2,1,,,,,,,,,,1,1,,,,,,,,,,,3,,,,,,,,,,,11,2
"Mt. Hutt","Raoulia eximia",41,79,"open",49,57,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,
"Mt. Hutt","Raoulia eximia",41,80,"cushion",50,48,,3,,,,,,,3,,,,1,,,,,,,,,,,1,4,3,,1,,,2,,,,,,
"Mt. Hutt","Raoulia eximia",41,80,"open",50,48,,4,,,,,,,1,,,,,3,,,,,,,,,,,7,,,,,,,,,,,3,
