site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Acaena leptacantha,Acaena pinnatifida,Adesmia sp4,Barneoudia major,Bromus catharticus,Bromus setifoluis,Calandrinia affinis,Calandrinia caespitosa,Calandrinia sp,Carex sp 1,Carex sp 2,Cerastium arvense,Chaetanthera apiculata,Chaetanthera euphrasioides,Chaetanthera lycopodioides,Chaetanthera pentacaenoides,Chaetanthera planiseta,Chaetanthera pusilla,Draba sp 2,Erigeron andicola,Festuca magellanica,Galium gilliesii,Gayophytum humile,Geranium sessiliflorum,Haplopappus scrobiculatus,Hordeum comosum,Hypochaeris tenuifolia,Jaborosa caulescens,Junellia uniflora,Loasa sigmoidea,Microsteris gracilis,Montiopsis potentilloides,Nassauvia lagascae,Nassauvia pyramidalis,Nastanthus agglomeratus,Olsynium scirpoideum,Oreopolus glacialis,Oxalis compacta,Perezia carthamoides,Perezia pilifera,Phacelia secunda,Poa alopecurus,Poa pratensis,Pozoa coriacea,Quinchamalium chilense,Rhodophiala uniflora,Rytidosperma violaceum,Sanicula graveolens,Senecio bustillosianus,Senecio looseri,Senecio polygaloides,Taraxacum officinale,Thlaspi magellanicum,Trisetum preslei,Tropaeolum polyphyllum,Viola philippii,dataset code
"Valle Nevado","Laretia_acaulis",2,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,,,,2,,,,,,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",3,"open","","",,,,,,,,2,,,,,,3,2,,5,,,,,,,,,,,,,,54,13,,,,,,,,1,1,2,,,,,,,,,,2,,3,,,61
"Valle Nevado","Laretia_acaulis",4,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,1,,,,,,2,,,,,1,,,,,61
"Valle Nevado","Laretia_acaulis",5,"open","","",,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",6,"open","","",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,61
"Valle Nevado","Laretia_acaulis",7,"open","","",,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,1,,,5,,,,,,,,,,,,,1,1,,,,1,61
"Valle Nevado","Laretia_acaulis",8,"open","","",,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,4,,,,,,,,,3,,,1,,,1,,,,1,,,,,,61
"Valle Nevado","Laretia_acaulis",9,"open","","",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",10,"open","","",,,,,,,,1,,,,,,,1,,,2,,,,,,,,1,,,,,4,13,,,,,,,,,1,,,,,,,1,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",11,"open","","",,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,2,8,,,,3,,,,,1,2,,,,,,,,,,,,2,,,61
"Valle Nevado","Laretia_acaulis",12,"open","","",,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,6,,,,,1,,,,1,,,,,1,,,,,1,,,,,,61
"Valle Nevado","Laretia_acaulis",13,"open","","",,,,,,,,,,,1,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",14,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",15,"open","","",,,,,,,,,,,,,,,,,9,,,,,,12,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",16,"open","","",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,2,,,1,,,,,1,,,,1,,1,,,61
"Valle Nevado","Laretia_acaulis",17,"open","","",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,1,,,,,,,,61
"Valle Nevado","Laretia_acaulis",18,"open","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,61
"Valle Nevado","Laretia_acaulis",19,"open","","",,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,1,2,11,,,,2,,,,,,,,,,,1,,2,,,,,,,,61
"Valle Nevado","Laretia_acaulis",20,"open","","",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,2,,,61
"Valle Nevado","Laretia_acaulis",21,"open","","",,,,,,,,,,,,4,,,,1,81,,,,,,,,,,,,,,,3,,1,,,,1,,,,1,2,1,,,,2,,,,2,,3,,,61
"Valle Nevado","Laretia_acaulis",22,"open","","",,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,61
