Site,site name,cushion spp (Genus_species),Hemisphere,Gams winter,TMAX JUNE,TMIN Jan,P/TSUMMER,June Soil Temp,EVAP SUMMER,NDVI SUMMER,RH SUMMER,SOIL WETNESS SUMMER,siten,sitespecies,sitehabscoremean,scorese,nmdsmeaneffectsize,nmdscveffectsize,diveffectsize,divalleffectsize,opendivmean,alldivmean,denseffectsize,densalleffectsize,opendensmean,alldensmean
81,"Sierra Nevada 5","Plantago_holosteum","N",53.6834123867519,25.7655556,-10.23,0.734638464777906,9.04777780000001,57.11188889,0.213233333333333,46.18514815,392.348888866667,85,27,-0.179539,0.06493988,1.76934516,1.39236674,-25.220073,74.75472315,4.06729412,6.09811765,-13.442947,72.27282992,12.08835294,22.13788235
82,"Kitanuma ","Pinus_pumila","N",54.5847951086443,21.5777778,-31.814444,18.3187182164854,1.72000000000003,92.3791851866667,0.720881481666667,84.5674814833333,599.9888889,60,31,0.19643615,0.08400707,0.04459546,-0.834249,-17.696832,-10.601629,9.80033333,9.21633333,-10.17488,-8.305634,82.15946333,77.08865833
83,"Qilian Shan","Arenaria_kansuensis Maxim.","N",88.3115108497022,15.1577778,-30.048889,5.3139930214523,-4.692222,22.2620148166667,0.104255555666667,48.2752222233333,372.2062963,60,19,0.319893,0.07354154,2.9075328,-1.021856,36.78993248,61.21564034,3.47733333,5.5815,37.98500657,69.38389468,54.32133333,140.6
84,"Qilian Shan","Rhodiola_juparensis","N",88.2907188152486,15.1577778,-30.048889,5.3139930214523,-4.692222,22.2620148166667,0.096074074,48.2752222233333,372.2062963,70,15,0.44728033,0.06731569,0.2176379,-0.926986,53.864296,97.18311693,3.44314286,5.61442857,3.17476692,64.85484289,38.79442857,79.34685714
85,"Langtang-Kyanngjing Valley","Astragalus_sp","N",86.8001809152085,17.3411111,-11.682222,69.15703065792,7.51888890000004,73.6105185166667,0.647833333,89.91537037,585.140370366667,82,55,0.20962441,0.05801362,1.22861862,0.62613449,54.76140825,94.93469771,10.72012195,16.66170732,18.29828014,92.30089655,174.92414634,374.1495122
86,"Swiftcurrent Low","Silene_acaulis","N",79.3813474127106,25.6,-29.011111,5.68400988837724,-0.692222,101.458666676667,0.556640741,58.0731481466667,412.817037033333,80,27,0.56976151,0.06002684,0.57767939,1.33289131,78.70861869,96.79520614,1.034,3.779125,71.30227505,85.67465959,1.807625,11.232
87,"Swiftcurrent High","Silene_acaulis","N",79.5308431236828,25.6,-29.011111,5.68400988837724,-0.692222,101.458666676667,0.556640741,58.0731481466667,412.817037033333,80,25,0.61293258,0.05282439,3.41210469,-1.181502,116.75014557,139.43574712,1.38825,5.154625,85.53689677,98.475316,2.21325,14.18825
88,"Windy Pass 1","Dasiphora_fruticosa","N",80.9478489695606,26.0833333,-25.966667,4.72156549796859,0.312222200000008,84.9572592766667,0.426070370666667,56.39659259,332.345925933333,78,49,0.7668952,0.04427554,4.55325225,-3.038931,152.6277266,155.1216544,1.02884615,8.26025641,95.70647697,101.93221948,1.73115385,32.32141026
89,"Latnja","Silene_acaulis","N",50.5209114655698,16.3722222,-26.392222,12.8111102116457,-0.376667,34.5242222233333,0.2245,84.8224074066667,644.767037066667,50,40,-0.001843,0.090479287,2.985819192,0.832611461,-1.67186,65.084259081,4.9248,7.6924,16.374045944,57.602578481,19.7364,45.0898
90,"Dolomites 1","Carex_firma","N",73.0596631157312,20.0077778,-21.962222,17.8006026851265,0.393333299999995,98.42362963,0.632992592666667,82.0786666666667,553.277777766667,90,28,0.22398475,0.07433476,1.37556628,0.4984751,28.09813622,72.90902942,1.69133333,2.93755556,44.01309431,96.32906525,3.32444444,8.74288889
91,"Dolomites 2","Silene_acaulis","N",70.737432101107,19.7511111,-24.708889,21.6903168087961,0.781111100000032,88.5005185266667,0.421225925666667,85.77674074,572.5185185,100,36,0.22170958,0.06224635,3.65815242,-1.227691,33.77875453,96.68669831,2.9038,4.7758,77.97244028,100.93183172,7.0828,24.7206
92,"Dolomites 3","Minuartia_sp","N",71.0951895546403,19.7511111,-24.708889,21.6903168087961,0.781111100000032,88.5005185266667,0.421225925666667,85.77674074,572.5185185,100,26,0.39970603,0.06829257,2.48512366,1.28092516,53.22104612,76.94308969,0.9606,2.3623,41.9415645,56.91377533,2.3216,8.2205
93,"Dolomites 4","Cerastium_alpinum","N",74.3363014318923,19.9455556,-25.601111,17.6197061224551,0.813333300000011,95.04622222,0.293592592666667,84.4841851866667,552.824074033333,91,12,0.57975635,0.06228694,2.46580813,-0.216766,48.34004216,68.77500801,1.09362637,2.2921978,56.83278554,75.69986711,2.51351648,9.45846154
94,"Dolomites 5","Silene_acaulis","N",70.858955487592,19.7511111,-24.708889,21.6903168087961,0.781111100000032,88.5005185266667,0.421225925666667,85.77674074,572.5185185,57,25,0.26697812,0.09059927,2.80128148,-0.515126,42.62122916,81.82555998,3.02122807,5.81087719,58.48684052,81.59790613,9.12666667,41.17719298
95,"Piegan Pass 2010","Silene_acaulis","N",80.1156566438598,25.5333333,-27.367778,4.92900941389269,-0.542222,94.75829631,0.354222222333333,56.5532962966667,360.8277778,80,25,0.60693947,0.04075038,1.37471112,-1.952344,77.49647513,87.50956461,1.772375,4.49675,96.68457862,100.46791692,2.796,12.468125
97,"Ptarmigan Cirque","Silene_acaulis","N",80.7507002335922,19.8188889,-31.048889,11.5592553474079,-2.283333,83.1915925933333,0.289648148,69.02477778,518.5162963,99,32,0.45071734,0.05835402,4.73080232,-1.96312,102.13663798,123.561851,2.24090909,5.85989899,75.06866028,88.06798186,8.61161616,33.90393939
98,"Windy Pass 2","Silene_acaulis","N",80.9709137811701,26.0833333,-25.966667,4.72156549796859,0.312222200000008,84.9572592766667,0.426070370666667,56.39659259,332.345925933333,114,67,0.67961066,0.03783223,1.42347279,-0.383072,148.87025304,181.92970151,1.46429825,7.71614035,106.59548389,140.16144105,3.445,24.15254386
99,"Cathedral Lake 2_Sax opp","Saxifraga_oppositifolia","N",63.0548469577517,23.9788889,-27.175556,4.31022236609008,0.568888900000047,94.7378518633333,0.535796296666667,62.7237777766667,486.485925933333,39,15,0.73296415,0.06615738,6.13499426,1.69732015,74.62187322,77.18290939,0.60538462,3.15487179,53.11241038,61.7794728,3.90846154,28.34282051
