Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Anthyllis vulneraria ssp pseudoarundana,Biscutella glacialis,Dactylis glomerata ssp juncinella,Dianthus brachyanthus,Erigeron frigidus,Eryngium glaciale,Euphorbia nevadensis ssp nevadensis,Euphrasia willkommii,Festuca clementei,Festuca indigesta,Galium pyrenaicum,Jasione amethystina,Leontodon boryi,Leucanthemopsis pectinata,Linaria aeruginea ssp nevadensis,Lotus corniculatus ssp glacialis,Nevadensia purpurea,Pilosella sp,Plantago holosteum,Poa ligulata,Rumex angiocarpus,Sedum amplexicaule ssp amplexicaule,Senecio boissieri,Sideritis glacialis,Silene boryi,Thymus serpylloides ssp serpylloides,Trisetum glaciale
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",53,"open",10,9,,,,,,,,,,,,,,,,,,,,10,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",54,"cushion",16,14,,,,,,,1,,1,,,4,,,,,,,1,,,,,1,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",54,"open",16,14,,,,,,,,,1,,,1,,,,3,,,2,4,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",55,"cushion",20,14,1,,,,,,,,,,10,5,,,,,,,,1,,2,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",55,"open",20,14,,,,,,,,,,,,2,,1,,,1,,1,9,,14,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",56,"cushion",14,13,,,,,,,,,3,,,3,,,,9,,,1,3,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",56,"open",14,13,,,,,,,1,,,,,,,,,2,,,2,14,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",57,"cushion",18,13,,,,,,,1,,1,1,,2,,,,,2,,,4,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",57,"open",18,13,,,,,,,,,,1,,2,,,,,,,1,5,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",58,"cushion",23,16,,,,,,,,,,,5,4,,,,35,,,,,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",58,"open",23,16,,1,,,,,,,1,1,,,1,6,,,,,2,3,1,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",59,"cushion",16,14,,1,,,,,2,,3,,,1,1,,,1,,,,1,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",59,"open",16,14,,,,,,,,,,,,,1,,,9,,,,3,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",60,"cushion",16,14,,,,,,,,,1,,,1,,,,,,,1,1,,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",60,"open",16,14,,,,,,,,,,,,1,,,,,,,,1,2,,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",61,"cushion",14,12,,,,,,,,,,,,4,,,,2,,,1,2,2,1,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",61,"open",14,12,,,,,,,,,,,,1,,,,5,,,,12,,5,,,,,
79,"Sierra Nevada3","Arenaria_tetraquetra_amabilis",62,"cushion",12,11,,,,,,,1,,,,,,,,,1,,,1,5,,5,,,,,
