Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Anthyllis vulneraria ssp pseudoarundana,Arenaria tetraquetra ssp amabilis,Biscutella glacialis,Dactylis glomerata ssp juncinella,Dianthus brachyanthus,Draba hispanica ssp laderoi,Erigeron frigidus,Euphorbia nevadensis ssp nevadensis,Euphrasia willkommii,Festuca clementei,Festuca indigesta,Galium pyrenaicum,Jasione amethystina,Leontodon boryi,Leucanthemopsis pectinata,Linaria aeruginea ssp nevadensis,Lotus corniculatus ssp glacialis,Nevadensia purpurea,Pilosella sp,Poa ligulata,Rumex angiocarpus,Sedum amplexicaule ssp amplexicaule,Senecio boissieri,Sideritis glacialis,Silene boryi,Thymus serpylloides ssp serpylloides,Trisetum glaciale
81,"Sierra Nevada3","Plantago_holosteum",42,"open",16,13,,,,,,,,,,,,,,,,,,,,13,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",43,"open",14,13,,,,,,,,,,,2,,2,,,,,,,9,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",44,"open",14,10,,,,,,,,,,,,,1,,,,,,,8,,4,,,,,
81,"Sierra Nevada3","Plantago_holosteum",45,"open",18,17,,,,,,,,,,1,4,,3,,,,,,,5,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",46,"open",13,13,,1,,,1,,,1,,,,,1,,,,,,,10,,,,1,,,
81,"Sierra Nevada3","Plantago_holosteum",47,"open",15,12,,,,,,,,,,,,,1,,,,,,,8,,2,,,,,
81,"Sierra Nevada3","Plantago_holosteum",48,"open",16,10,,1,,,,,,,1,1,,,,,,2,3,,,5,,11,,,,,
81,"Sierra Nevada3","Plantago_holosteum",49,"open",19,17,,1,,,,,,1,,1,,,1,,,,,,,2,,3,,,,,
81,"Sierra Nevada3","Plantago_holosteum",50,"open",16,11,,,,,,,,1,,,,,1,,,,1,,,6,,16,,,,,
81,"Sierra Nevada3","Plantago_holosteum",51,"open",13,10,,,,,,,,,,,,,4,3,,,,2,,6,,1,,,,,
81,"Sierra Nevada3","Plantago_holosteum",52,"open",24,24,,2,,,,,,,1,,,,3,,,,2,,,5,,7,,,,,
81,"Sierra Nevada3","Plantago_holosteum",53,"open",10,9,,,,,,,,,,,,,,,,,,,,10,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",54,"open",16,14,,2,,,,,,,,1,,,1,,,,3,,,4,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",55,"open",20,14,,1,,,,,,,,,,,2,,1,,,1,,9,,14,,,,,
81,"Sierra Nevada3","Plantago_holosteum",56,"open",14,13,,2,,,,,,1,,,,,,,,,2,,,14,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",57,"open",18,13,,1,,,,,,,,,1,,2,,,,,,,5,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",58,"open",23,16,,2,1,,,,,,,1,1,,,1,6,,,,,3,1,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",59,"open",16,14,,,,,,,,,,,,,,1,,,9,,,3,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",60,"open",16,14,,,,,,,,,,,,,1,,,,,,,1,2,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",61,"open",14,12,,,,,,,,,,,,,1,,,,5,,,12,,5,,,,,
81,"Sierra Nevada3","Plantago_holosteum",62,"open",12,11,,,,,,,,,,,,,1,,,3,,,,8,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",63,"open",16,16,,,,,,,,1,,,,,,,2,,2,,,3,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",64,"open",14,12,,,,,,,,,,,,,,,,,,,,6,,13,,,,,
81,"Sierra Nevada3","Plantago_holosteum",65,"open",19,15,,3,,,,,,,,,,,1,,,,1,,,6,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",66,"open",14,11,,,,,,,,,,,,,1,2,,,,,,1,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",67,"open",13,10,,,,,,,,,,1,1,,,2,,,,,,2,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",68,"open",14,8,,,,,,,,,,,,,,,,,,,,6,,,,,1,,
81,"Sierra Nevada3","Plantago_holosteum",69,"open",15,12,,,,,,,,,,1,,,1,,,,,,,9,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",70,"open",22,13,,2,,2,,,,1,,,,,2,,,,,,,6,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",71,"open",21,20,,,,,,,,1,,,,,,,,,,,,9,,,,,,1,
81,"Sierra Nevada3","Plantago_holosteum",72,"open",17,9,,,,,,,,,,,,,2,,,,,,,6,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",73,"open",15,12,,,,,,,,,,,1,,,,,,,,,10,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",74,"open",16,10,,,,,,,,,,,,,,,,,1,,,5,5,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",75,"open",15,11,,1,,,,,,,,,,,,,,,,,,9,5,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",76,"open",16,12,,,,,,,,,,,,,,,,,,,,4,3,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",77,"open",24,21,,,,1,,,,,,,,,,,,,,,,5,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",78,"open",24,22,,2,,,,,,,1,1,1,,5,4,,,,,3,3,1,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",79,"open",19,22,,,,,,,,1,1,,,,1,,,,3,,,2,4,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",80,"open",10,10,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",81,"open",18,14,,,,,,,,1,,1,,,1,1,,,,,,12,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",82,"open",22,20,,1,,,,,,,,1,,,5,,,,8,,,3,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",83,"open",21,13,,,,2,,,,,,1,1,,3,,,,,,,5,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",84,"open",14,9,,1,,,,,,,,,4,,,,,,1,,,2,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",85,"open",16,12,,,,2,,,,,,,,,1,,,,2,,,7,,,,,,,
