Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Biscutella glacialis,Chaenorhinum glareosum,Erigeron frigidus,Eryngium glaciale,Euphrasia willkommii,Festuca clementei,Galium pyrenaicum,Herniaria boissieri ssp boissieri,Hormathophylla spinosa,Jasione amethystina,Leontodon boryi,Nevadensia purpurea,Trisetum glaciale
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",81,"open",20,14,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",82,"cushion",28,18,,,,,,,,,,9,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",82,"open",28,18,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",83,"cushion",23,15,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",83,"open",23,15,,,,,,,,,,,,1,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",84,"cushion",23,25,,,,,,2,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",84,"open",23,25,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",85,"cushion",15,13,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",85,"open",15,13,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",86,"cushion",15,12,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",86,"open",15,12,,,,,,,,,,1,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",87,"cushion",28,27,,,,,,,,,,3,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",87,"open",28,27,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",88,"cushion",27,20,,,,,,,,,,9,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",88,"open",27,20,,,,,,,,,,,,1,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",89,"cushion",20,17,,,,,,,,,,1,,,
